federal_action_obligation,total_dollars_obligated,total_outlayed_amount_for_overall_award,current_total_value_of_award,awarding_agency_name,awarding_office_name,funding_agency_name,funding_office_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_name,primary_place_of_performance_country_name,transaction_description,prime_award_base_transaction_description,action_type,product_or_service_code_description,naics_description,recovered_materials_sustainability_code,domestic_or_foreign_entity,small_business_competitiveness_demonstration_program,alaskan_native_corporation_owned_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_organization_owned_firm,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size,emerging_small_business,us_federal_government,federally_funded_research_and_development_corp,federal_agency,usaspending_permalink
0.0,274114.52,21907.99,274114.52,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"CH2M HILL, INC",ENGLEWOOD,DENVER,COLORADO,UNITED STATES,LITTLE SCIOTO RIVER SF SITE: RD SUPPORT TO/RAF/DES/CLIN 0002/ADMIN MOD P1:  1.ASSIGN NEW PRIMARY PROJECT OFFICER/INVOICE APPROVER 2.ASSIGN NEW ALT. INVOICE APPROVER 3.ASSIGN NEW CONTRACT SPECIALIST,LITTLE SCIOTO RIVER (OU1) (LSR) DES TASK ORDER FOR RD SUPPORT.,OTHER ADMINISTRATIVE ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0522F0131_6800_68HE0318D0004_6800/
25000.0,211675.56,184850.57,271260.01,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC LANDEMERG MGMT (OLEM)(FUNDING),INDUSTRIAL ECONOMICS INC,CAMBRIDGE,MIDDLESEX,MASSACHUSETTS,UNITED STATES,"1, TO ADD INCREMENTAL FUNDS IN THE AMOUNT OF $25,000. 2. TO ADD TOCOR NATHAN WITTSTRUCK; ALT-TOCOR ALYSSA MALCOLM.","BATTERY ACT RULEMAKING SUPPORT, PERMITTING UPDATES RULE SUPPORT AND OTHER RCRA PROGRAMMATIC SUPPORT",FUNDING ONLY ACTION,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERH22F0230_6800_68HERH21D0001_6800/
0.0,205000.0,53925.39,271177.87,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC LANDEMERG MGMT (OLEM)(FUNDING),"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",FALLS CHURCH,FAIRFAX,VIRGINIA,UNITED STATES,"TASK ORDER FOR EPA RESPONSE SUPPORT CORPS (FOLLOW-ON TO EP-17-W-003/0001) UNDER MULTIPLE-AWARD BRIDGE CONTRACTS FOR OFFICE OF LAND AND EMERGENCY MANAGEMENT, OFFICE OF EMERGENCY MANAGEMENT MOD P00002: ADJUSTMENT TO PERIOD OF PERFORMANCE OF BASE AND O","TASK ORDER FOR EPA RESPONSE SUPPORT CORPS (FOLLOW-ON TO EP-17-W-003/0001) UNDER MULTIPLE-AWARD BRIDGE CONTRACTS FOR OFFICE OF LAND AND EMERGENCY MANAGEMENT, OFFICE OF EMERGENCY MANAGEMENT",SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,OTHER ENVIRONMENTAL SERVICES,ENVIRONMENTAL CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERH23F0300_6800_68HERH23D0014_6800/
142000.0,271000.0,129099.43,271000.0,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC FOR AIR  RAD (OAR) (FUNDING),"ENVERUS, INC.",AUSTIN,TRAVIS,TEXAS,UNITED STATES,"THE PURPOSE OF THIS BILATERAL MODIFICATION IS TO DO THE FOLLOWING:  1. EXERCISE OPTION PERIOD I FOR THE PERIOD OF PERFORMANCE OF FEBRUARY 28, 2024 THROUGH FEBRUARY 27, 2025,  2. FULLY FUND CLIN 1001, AND  3. ADD CLAUSES: EPA-G-42-101 AND, EPA-H-4",THE PURPOSE OF THIS AWARD IS TO ISSUE A PURCHASE ORDER FOR ACCESS TO THE ENVERUS DRILLINGINFO DATABASE AND MIDSTREAM INFRASTRUCTURE DATABASE.,EXERCISE AN OPTION,SUPPORT- PROFESSIONAL: OTHER,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERH23P0054_6800_-NONE-_-NONE-/
270724.73,270724.73,3523.39,270724.73,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),BATTELLE MEMORIAL INSTITUTE,COLUMBUS,FRANKLIN,OHIO,UNITED STATES,NEW STREAMS IV TASK ORDER TITLED COMMUNITY WATER QUALITY TESTING FOR LEAD SERVICE LINE SAMPLING.,NEW STREAMS IV TASK ORDER TITLED COMMUNITY WATER QUALITY TESTING FOR LEAD SERVICE LINE SAMPLING.,,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",B,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC24F0029_6800_68HERC21D0002_6800/
-3504.63,270079.4,270079.4,270079.4,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),MILLERKNOLL INC,ZEELAND,OTTAWA,MICHIGAN,UNITED STATES,"NATIONWIDE STRATEGIC SOURCING BPA CALL ORDER FOR FURNITURE PRODUCTS FOR THE REGION 4 OFFICE ANNEX AND CONFERENCE CENTER, ATHENS, GA.  P00003 REMOVAL OF EXCESS FUNDS","NATIONWIDE STRATEGIC SOURCING BPA CALL ORDER FOR FURNITURE PRODUCTS FOR THE REGION 4 OFFICE ANNEX AND CONFERENCE CENTER, ATHENS, GA.",OTHER ADMINISTRATIVE ACTION,OFFICE FURNITURE,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC22F0042_6800_68HERC21A0004_6800/
-28.14,269914.3,-28.14,269942.44,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),APTIM FEDERAL SERVICES LLC,ALEXANDRIA,ALEXANDRIA (CITY),VIRGINIA,UNITED STATES,TASK ORDER TO SUPPORT NATIONAL HOMELAND SECURITY RESEARCH CENTER MODELING RESEARCH - DEOBLIGATION OF FUNDS,CONTRACT 68HERC19D0009:  TASK ORDER TO SUPPORT NATIONAL HOMELAND SECURITY RESEARCH CENTER MODELING RESEARCH,FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OTHER,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC19F0233_6800_68HERC19D0009_6800/
169345.0,269345.0,43791.0,269345.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFFICE FOR WATER (OW) (FUNDING),THE CADMUS GROUP LLC,WALTHAM,MIDDLESEX,MASSACHUSETTS,UNITED STATES,SUPPORT FOR CRWU'S FINANCIAL SECTOR WORKING GROUP. MOD 1 ADDS INCREMENTAL FUNDING.,SUPPORT FOR CRWU'S FINANCIAL SECTOR WORKING GROUP.,FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC23F0325_6800_68HERC21D0006_6800/
-51.87,269138.13,102710.85,269190.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),EASTERN RESEARCH GROUP INC,LEXINGTON,MIDDLESEX,MASSACHUSETTS,UNITED STATES,FURTHER DEVELOPMENT OF WASTE MANAGEMENT PLANNING TOOL (WMPT) AND INTEGRATION WITH I-WASTE TOOL.,FURTHER DEVELOPMENT OF WASTE MANAGEMENT PLANNING TOOL (WMPT) AND INTEGRATION WITH I-WASTE TOOL.,FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC20F0085_6800_EPC16015_6800/
-79288.94,90711.06,90785.44,268677.06,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFFICE FOR WATER (OW) (FUNDING),"ICF INCORPORATED, L.L.C.",RESTON,FAIRFAX,VIRGINIA,UNITED STATES,ADMINISTRATIVE CHANGE FOR SUPPORT FOR EPA ICR TEAM  P00003 - DE-OBLIGATE EXCESS FUNDS,TASK ORDER AWARD FOR SUPPORT FOR EPA ICR TEAM,FUNDING ONLY ACTION,SPECIAL STUDIES/ANALYSIS- REGULATORY,ENVIRONMENTAL CONSULTING SERVICES,B,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC22F0105_6800_68HE0C18D0001_6800/
0.0,268292.97,205420.19,268292.97,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),SOVEREIGN CONSULTING INC,ROBBINSVILLE,MERCER,NEW JERSEY,UNITED STATES,"EPA REGION 3 MULTI-SITE TECHNICAL OVERSIGHT SUPPORT (TOS)  FOUR SITES TWO PRIMARY SITES: 1. BRESLUBE- PENN, INC. 2. ELIZABETHTOWN LANDFILL  OPTION SITES 1. CENTRE COUNTY KEOPONE 2. HELEVA LANDFILL","EPA REGION 3 MULTI-SITE TECHNICAL OVERSIGHT SERVICES (TOS)  FOUR SITES TWO PRIMARY SITES: 1. BRESLUBE- PENN, INC. 2. ELIZABETHTOWN LANDFILL  OPTION SITES 1. CENTRE COUNTY KEOPONE 2. HELEVA LANDFILL",OTHER ADMINISTRATIVE ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,A,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0320F0028_6800_68HE0118D0009_6800/
9175.87,268292.97,205420.19,268292.97,Environmental Protection Agency,REGION 3 CONTRACTING OFFICE,Environmental Protection Agency,REGION 3 (FUNDING OFFICE),SOVEREIGN CONSULTING INC,ROBBINSVILLE,MERCER,NEW JERSEY,UNITED STATES,"EPA REGION 3 MULTI-SITE TECHNICAL OVERSIGHT SUPPORT (TOS)  FOUR SITES TWO PRIMARY SITES: 1. BRESLUBE- PENN, INC. 2. ELIZABETHTOWN LANDFILL  OPTION SITES 1. CENTRE COUNTY KEOPONE 2. HELEVA LANDFILL","EPA REGION 3 MULTI-SITE TECHNICAL OVERSIGHT SERVICES (TOS)  FOUR SITES TWO PRIMARY SITES: 1. BRESLUBE- PENN, INC. 2. ELIZABETHTOWN LANDFILL  OPTION SITES 1. CENTRE COUNTY KEOPONE 2. HELEVA LANDFILL",FUNDING ONLY ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,A,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0320F0028_6800_68HE0118D0009_6800/
-50166.49,267874.9,,267874.9,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),"TETRA TECH, INC.",OAKLAND,ALAMEDA,CALIFORNIA,UNITED STATES,"THE PURPOSE OF THIS UNILATERAL MODIFICATION IS TO DE-OBLIGATE UNUSED FUNDS IN PREPARATION FOR CLOSEOUT. THIS WILL BE MODIFICATION P00011 TO TASK ORDER 0005, UNDER RAES 1 CONTRACT #EPS91703.",IGF::OT::IGF THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE TECHNICAL PRP OVERSIGHT SERVICES FOR THE CYPRUS AMEX RSE EFFORT ON THE NAVAJO NATION.,FUNDING ONLY ACTION,SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,ENVIRONMENTAL CONSULTING SERVICES,A,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_0005_6800_EPS91703_6800/
0.0,267554.0,267565.12,267554.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,HAMILTON,OHIO,UNITED STATES,TASK ORDER UNDER CONTRACT #68HREC20D0029 TITLED: LRTD OPERATIONS & MAINTENANCE (O&M) ON EXISTING IT SYSTEMS.,TASK ORDER UNDER CONTRACT #68HREC20D0029 TITLED: LRTD OPERATIONS & MAINTENANCE (O&M) ON EXISTING IT SYSTEMS.,CLOSE OUT,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",B,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,t,t,f,t,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC21F0325_6800_68HERC20D0029_6800/
0.0,176000.0,,266400.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,REGION 2 (FUNDING OFFICE),AVANTI CORPORATION,ALEXANDRIA,FAIRFAX,VIRGINIA,UNITED STATES,"DEVELOPING A PUBLIC OUTREACH AND EDUCATION PROGRAM ON RAINWATER CATCHMENT SYSTEM OPERATIONS AND MAINTENANCE, INCLUDING WORKSHOPS, PRODUCING A VIDEO AND BROCHURE, AND PROVIDING CHLORINE TEST KITS. MOD 1 - ADD ALT. COR","THIS PROJECT AIMS TO IMPROVE THE RELATIONSHIP BETWEEN WATER UTILITIES, COMMUNITY SECTORS, PUBLIC HEALTH AGENCIES, AND HEALTHCARE FACILITIES, TO IMPROVE THE RESPONSE AND RECOVERY OF WATER SERVICE INTERRUPTIONS THAT IMPACT HEALTHCARE AND PUBLIC HEALTH.",OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENVIRONMENTAL CONSULTING SERVICES,B,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,t,t,t,t,f,f,f,t,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC23F0459_6800_68HERC20D0013_6800/
0.0,266248.58,65419.33,266248.58,Environmental Protection Agency,REGION 7 CONTRACTING OFFICE,Environmental Protection Agency,REGION 10 (FUNDING OFFICE),OCH JV,MILWAUKEE,MILWAUKEE,WISCONSIN,UNITED STATES,"R10 ESO BREMERTON GAS WORKS RI/FS OVERSIGHT P00009: SHIFT FUNDING FROM YEAR 1, 2 AND 3 TO OPTION 1 AND OPTION 2.",R10 ESO BREMERTON GAS WORKS RI/FS OVERSIGHT,FUNDING ONLY ACTION,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,F,U.S. OWNED BUSINESS,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,t,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0720F0146_6800_68HE0118D0016_6800/
136342.32,266192.15,97479.79,266192.15,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),THE REMI GROUP LLC,CHARLOTTE,MECKLENBURG,NORTH CAROLINA,UNITED STATES,THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR 1.,MAINTENANCE/ REPAIR SERVICE GSA ORDER FOR REGION 09 CORVALLIS LAB EQUIPMENT.,EXERCISE AN OPTION,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,FACILITIES SUPPORT SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0923F0009_6800_GS21F0093V_4730/
33000.0,266192.15,97479.79,266192.15,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),THE REMI GROUP LLC,CHARLOTTE,MECKLENBURG,NORTH CAROLINA,UNITED STATES,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDS.,MAINTENANCE/ REPAIR SERVICE GSA ORDER FOR REGION 09 CORVALLIS LAB EQUIPMENT.,FUNDING ONLY ACTION,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,FACILITIES SUPPORT SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0923F0009_6800_GS21F0093V_4730/
-33000.0,233192.15,97479.79,266192.15,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),THE REMI GROUP LLC,CHARLOTTE,MECKLENBURG,NORTH CAROLINA,UNITED STATES,THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE INCORRECT FUNDING LINE. CORRECT FUNDING WILL BE ADDED IN NEXT MOD.,MAINTENANCE/ REPAIR SERVICE GSA ORDER FOR REGION 09 CORVALLIS LAB EQUIPMENT.,OTHER ADMINISTRATIVE ACTION,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,FACILITIES SUPPORT SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0923F0009_6800_GS21F0093V_4730/
93271.0,213271.0,59193.97,265728.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),"ICF INCORPORATED, L.L.C.",FAIRFAX,FAIRFAX,VIRGINIA,UNITED STATES,"THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE SERVICES TO THE U.S. ENVIRONMENTAL PROTECTION AGENCY (EPA) CENTER FOR PUBLIC HEALTH AND ENVIRONMENTAL ASSESSMENT (CPHEA), OFFICE OF RESEARCH AND DEVELOPMENT (ORD), IN SUPPORTING UPDATES AND REVISIONS TO EX","THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE SERVICES TO THE U.S. ENVIRONMENTAL PROTECTION AGENCY (EPA) CENTER FOR PUBLIC HEALTH AND ENVIRONMENTAL ASSESSMENT (CPHEA), OFFICE OF RESEARCH AND DEVELOPMENT (ORD), IN SUPPORTING UPDATES AND REVISIONS TO EX",EXERCISE AN OPTION,SUPPORT- PROFESSIONAL: OTHER,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",B,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC23F0007_6800_68HERC19D0003_6800/
0.0,265552.82,29267.67,265552.82,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",HUNT VALLEY,BALTIMORE,MARYLAND,UNITED STATES,ESO - CYPRUS TOHONO MINE SITE. THIS ADMIN MOD IS TO INCORPORATE KARIN GRAVES AS AN ALTERNATE INVOICE APPROVING OFFICIAL AND REPLACES SANDRA ONEILL.,"THE IS A NEW TASK ORDER CREATED FOR THE CYPRUS TOHONO MINE SITE, LOCATED SOUTHEAST OF THE VILLAGE OF NORTH KOMELIK ON TOHONO O'ODHAM NATION LAND. WHEREBY, THE CONTRACTOR PROVIDES OVERSIGHT SUPPORT OF ONGOING REMEDIAL INVESTIGATION/FEASIBILITY ST",OTHER ADMINISTRATIVE ACTION,OTHER ENVIRONMENTAL SERVICES,REMEDIATION SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0922F0029_6800_68HE0118D0004_6800/
0.0,265552.82,29267.67,265552.82,Environmental Protection Agency,REGION 9 CONTRACTING OFFICE,Environmental Protection Agency,REGION 9 (FUNDING OFFICE),"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",HUNT VALLEY,BALTIMORE,MARYLAND,UNITED STATES,"ESO - CYPRUS TOHONO MINE SITE. THIS MODIFICATION INCORPORATES THE CONTRACTOR'S NET-ZERO COST WORK PLAN AMENDMENT DATED 11/16/2023, AND PERIOD OF PERFORMANCE EXTENSION TO 12/31/2024 INTO THIS TASK ORDER.","THE IS A NEW TASK ORDER CREATED FOR THE CYPRUS TOHONO MINE SITE, LOCATED SOUTHEAST OF THE VILLAGE OF NORTH KOMELIK ON TOHONO O'ODHAM NATION LAND. WHEREBY, THE CONTRACTOR PROVIDES OVERSIGHT SUPPORT OF ONGOING REMEDIAL INVESTIGATION/FEASIBILITY ST",SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,OTHER ENVIRONMENTAL SERVICES,REMEDIATION SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0922F0029_6800_68HE0118D0004_6800/
1139.98,255660.84,254520.86,265000.0,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),"AIRGAS USA, LLC",KENNESAW,COBB,GEORGIA,UNITED STATES,"THE PURPOSE OF THIS MODIFICATION IS TO FUND THIS TASK ORDER IN THE AMOUNT OF $1,139.98.",HIGH PURITY SPECIALTY GRADE GASES AND SELECT INDUSTRIAL GRADE GASES.,FUNDING ONLY ACTION,GASES: COMPRESSED AND LIQUEFIED,INDUSTRIAL GAS MANUFACTURING,F,FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S.,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERH22F0083_6800_68HERH20D0002_6800/
-10479.14,254520.86,254520.86,265000.0,Environmental Protection Agency,HEADQUARTERS ACQUISITION DIV (HQAD),Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),"AIRGAS USA, LLC",KENNESAW,COBB,GEORGIA,UNITED STATES,"THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE IN THE AMOUNT OF $10,479.14 FROM THIS TASK ORDER.",HIGH PURITY SPECIALTY GRADE GASES AND SELECT INDUSTRIAL GRADE GASES.,FUNDING ONLY ACTION,GASES: COMPRESSED AND LIQUEFIED,INDUSTRIAL GAS MANUFACTURING,F,FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S.,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERH22F0083_6800_68HERH20D0002_6800/
0.0,264103.0,96728.0,264103.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFFICE FOR WATER (OW) (FUNDING),RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE PARK,DURHAM,NORTH CAROLINA,UNITED STATES,U.S. VIRGIN ISLANDS BASIC WATER QUALITY MONITORING PROGRAM (USVI BWQM),U.S. VIRGIN ISLANDS BASIC WATER QUALITY MONITORING PROGRAM (USVI BWQM),OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERC23F0250_6800_68HERC22A0020_6800/
